molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL3601218,O=C(O)CN(c1ccc(N(CC(=O)O)S(=O)(=O)c2ccc(C(F)(F)F)cc2)c2ccccc12)S(=O)(=O)c1ccc(C(F)(F)F)cc1,active,690.5960000000002,5.437200000000004,2.0,6.0,6.913640169325252
CHEMBL3601219,COc1cccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3cccc(OC)c3)c3ccccc23)c1,active,614.6540000000002,3.416800000000002,2.0,8.0,7.179798540514359
CHEMBL3601220,N#Cc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(C#N)cc3)c3ccccc23)cc1,active,604.6220000000002,3.1429600000000013,2.0,8.0,6.928117992693875
CHEMBL3601221,CCCCc1ccc(S(=O)(=O)N(CC(=O)O)c2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(CCCC)cc3)c3ccccc23)cc1,active,666.8180000000002,6.084800000000006,2.0,6.0,7.374687549038326
CHEMBL2402207,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,498.5820000000003,4.458600000000003,2.0,6.0,6.026872146400302
CHEMBL2133303,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccccc2)c2ccccc12)c1ccccc1,inactive,438.53000000000014,4.441400000000003,2.0,4.0,4.6020599913279625
CHEMBL3632699,COc1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccc(OC)c3)c3ccccc23)c1,active,498.5820000000002,4.458600000000003,2.0,6.0,6.200659450546418
CHEMBL484276,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(Cl)cc2)c2ccccc12)c1ccc(Cl)cc1,inactive,507.4200000000002,5.748200000000003,2.0,4.0,4.6020599913279625
CHEMBL3632700,O=C(O)c1cccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccc(C(=O)O)c3)c3ccccc23)c1,inactive,526.5480000000002,3.8378000000000023,4.0,6.0,4.6020599913279625
CHEMBL3632701,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c2ccccc12)c1ccc(C(F)(F)F)cc1,inactive,574.5240000000002,6.479000000000004,2.0,4.0,4.6020599913279625
CHEMBL3632702,O=S(=O)(Nc1ccc(NS(=O)(=O)c2cccc(C(F)(F)F)c2)c2ccccc12)c1cccc(C(F)(F)F)c1,inactive,574.5240000000003,6.479000000000004,2.0,4.0,4.6020599913279625
CHEMBL3632704,Cc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(C)cc3)c3ccccc23)cc1,active,466.58400000000023,5.058240000000004,2.0,4.0,6.050609993355087
CHEMBL3632705,CN(C)c1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(N(C)C)cc3)c3ccccc23)cc1,active,524.6680000000002,4.573400000000004,2.0,6.0,6.721246399047171
CHEMBL3632706,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(F)cc2)c2ccccc12)c1ccc(F)cc1,active,474.51000000000016,4.719600000000003,2.0,4.0,6.180456064458132
CHEMBL3632707,CCOC(=O)CN(c1ccc(N(CC(=O)OCC)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,inactive,670.7620000000002,4.373800000000004,0.0,10.0,4.6020599913279625
CHEMBL3632708,C=CCN(c1ccc(N(CC=C)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,inactive,578.7120000000002,5.6196000000000055,0.0,6.0,4.6020599913279625
CHEMBL3632709,COc1ccc(S(=O)(=O)N(C)c2ccc(N(C)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,inactive,526.6360000000003,4.5072000000000045,0.0,6.0,4.6020599913279625
CHEMBL3632710,CCN(c1ccc(N(CC)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,inactive,554.6900000000002,5.287400000000005,0.0,6.0,4.6020599913279625
CHEMBL3632711,COc1ccc(S(=O)(=O)N(CC(N)=O)c2ccc(N(CC(N)=O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,612.6860000000003,2.2182000000000004,2.0,8.0,7.200659450546418
CHEMBL3632712,C#CCN(c1ccc(N(CC#C)S(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,inactive,574.6800000000002,4.514000000000005,0.0,6.0,4.6020599913279625
CHEMBL3632713,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccccc3)c3ccccc23)cc1,inactive,468.5560000000002,4.450000000000003,2.0,5.0,4.6020599913279625
CHEMBL3632714,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)c3ccccc23)cc1,inactive,536.5530000000002,5.468800000000003,2.0,5.0,4.6020599913279625
CHEMBL3632880,O=S(=O)(Nc1ccc(NS(=O)(=O)c2ccc(C(F)(F)F)cc2)c2ccccc12)c1ccccc1,inactive,506.52700000000016,5.460200000000003,2.0,4.0,4.6020599913279625
CHEMBL3632881,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3cccc(OC)c3)c3ccccc23)cc1,active,498.5820000000003,4.458600000000003,2.0,6.0,6.3872161432802645
CHEMBL3632882,CCOC(=O)CN(c1ccc(NS(=O)(=O)c2ccc(OC)cc2)c2ccccc12)S(=O)(=O)c1ccc(OC)cc1,active,584.6720000000003,4.416200000000004,1.0,8.0,7.070581074285707
CHEMBL3617852,COc1ccc(S(=O)(=O)Nc2ccc(N(CC(=O)O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc23)cc1,active,556.6180000000003,3.937700000000002,2.0,7.0,7.214670164989233
CHEMBL3392606,COc1ccc(S(=O)(=O)Nc2cccc3ccccc23)cc1,inactive,313.37800000000004,3.649200000000002,1.0,3.0,4.6020599913279625
CHEMBL3632883,COc1ccc(S(=O)(=O)N(CC(=O)O)c2cccc3ccccc23)cc1,inactive,371.41400000000004,3.128300000000001,1.0,4.0,4.6020599913279625
CHEMBL3632884,COc1ccc(S(=O)(=O)Nc2cc(NS(=O)(=O)c3ccc(OC)cc3)c3ccccc3c2)cc1,inactive,498.5820000000003,4.458600000000003,2.0,6.0,4.6020599913279625
CHEMBL3632885,COc1ccc(S(=O)(=O)Nc2cc3ccccc3cc2NS(=O)(=O)c2ccc(OC)cc2)cc1,inactive,498.5820000000002,4.458600000000002,2.0,6.0,4.6020599913279625
CHEMBL3632886,COc1ccc(S(=O)(=O)N(CC(N)=O)c2cc(N(CC(N)=O)S(=O)(=O)c3ccc(OC)cc3)c3ccccc3c2)cc1,inactive,612.6860000000003,2.2182000000000004,2.0,8.0,4.6020599913279625
CHEMBL3632888,COc1ccc(S(=O)(=O)Nc2cc3ccccc3cc2N(CC(N)=O)S(=O)(=O)c2ccc(OC)cc2)cc1,inactive,555.6340000000004,3.338400000000002,2.0,7.0,4.6020599913279625
CHEMBL3632889,COc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(OC)cc3)c3ccccc23)cc1,inactive,426.47200000000015,5.361600000000004,2.0,4.0,4.6020599913279625
CHEMBL3632890,COc1ccc(S(=O)(=O)Nc2ccc(NS(=O)(=O)c3ccc(OC)cc3)cc2)cc1,inactive,448.5220000000002,3.3054000000000014,2.0,6.0,4.6020599913279625
CHEMBL3946369,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O,active,1026.2359999999999,2.494900000000008,11.0,12.0,7.657577319177793
